Trap,Latitude,Longitude,vert_dist_mid,horz_dist_mid,mid,vert_dist_ohare,horz_dist_ohare,ohare,airport_neg,airport
T002,41.95469,-87.800991,-0.1679062,0.0459455,0.174078950389,0.04031,-0.132009,0.138026345967,-0.0360526044224,Ohare
T002,41.95469,-87.800991,-0.1679062,0.0459455,0.174078950389,0.04031,-0.132009,0.138026345967,-0.0360526044224,Ohare
T007,41.994991,-87.769279,-0.2082072,0.0142335,0.208693149514,8.99999999859e-06,-0.163721,0.163721000247,-0.0449721492667,Ohare
T015,41.974089,-87.824812,-0.1873052,0.0697665,0.199876468023,0.020911,-0.108188,0.110190350145,-0.0896861178782,Ohare
T015,41.974089,-87.824812,-0.1873052,0.0697665,0.199876468023,0.020911,-0.108188,0.110190350145,-0.0896861178782,Ohare
T045,41.9216,-87.666455,-0.1348162,-0.0885905,0.16131858068,0.0734,-0.266545,0.276466629135,0.115148048454,Midway
T046,41.891118,-87.654491,-0.1043342,-0.1005545,0.144902839033,0.103882,-0.278509,0.297251968883,0.15234912985,Midway
T048,41.867108,-87.654224,-0.0803242,-0.1008215,0.128906756874,0.127892,-0.278776,0.306712278593,0.177805521719,Midway
T048,41.867108,-87.654224,-0.0803242,-0.1008215,0.128906756874,0.127892,-0.278776,0.306712278593,0.177805521719,Midway
T049,41.896282,-87.655232,-0.1094982,-0.0998135,0.148164066445,0.098718,-0.277768,0.29478857737,0.146624510925,Midway
T050,41.919343,-87.694259,-0.1325592,-0.0607865,0.145831889815,0.075657,-0.238741,0.250442102551,0.104610212736,Midway
T054,41.921965,-87.632085,-0.1351812,-0.1229605,0.182738177165,0.073035,-0.300915,0.30965133368,0.126913156515,Midway
T054,41.921965,-87.632085,-0.1351812,-0.1229605,0.182738177165,0.073035,-0.300915,0.30965133368,0.126913156515,Midway
T086,41.688324,-87.676709,0.0984598,-0.0783365,0.125821061227,0.306676,-0.256291,0.399668920054,0.273847858827,Midway
T086,41.688324,-87.676709,0.0984598,-0.0783365,0.125821061227,0.306676,-0.256291,0.399668920054,0.273847858827,Midway
T091,41.862292,-87.64886,-0.0755082,-0.1061855,0.130295236588,0.132708,-0.28414,0.313603177382,0.183307940794,Midway
T094,41.720848,-87.666014,0.0659358,-0.0890315,0.11078870752,0.274152,-0.266986,0.382675898509,0.27188719099,Midway
T096,41.731922,-87.677512,0.0548618,-0.0775335,0.0949803175479,0.263078,-0.255488,0.366720809647,0.271740492099,Midway
T096,41.731922,-87.677512,0.0548618,-0.0775335,0.0949803175479,0.263078,-0.255488,0.366720809647,0.271740492099,Midway
T129,41.891126,-87.61156,-0.1043422,-0.1434855,0.177413030556,0.103874,-0.32144,0.337806870084,0.160393839528,Midway
T129,41.891126,-87.61156,-0.1043422,-0.1434855,0.177413030556,0.103874,-0.32144,0.337806870084,0.160393839528,Midway
T143,41.999129,-87.795585,-0.2123452,0.0405395,0.216180329871,-0.004129,-0.137415,0.137477019411,-0.0787033104608,Ohare
T148,42.01743,-87.687769,-0.2306462,-0.0672765,0.240257772042,-0.02243,-0.245231,0.246254641095,0.00599686905315,Midway
T153,41.907645,-87.760886,-0.1208612,0.00584050000001,0.121002235953,0.087355,-0.172114,0.1930132768,0.0720110408465,Midway
T159,41.732984,-87.649642,0.0537998,-0.1054035,0.11833983392,0.262016,-0.283358,0.385932818532,0.267592984612,Midway
T002,41.95469,-87.800991,-0.1679062,0.0459455,0.174078950389,0.04031,-0.132009,0.138026345967,-0.0360526044224,Ohare
T002,41.95469,-87.800991,-0.1679062,0.0459455,0.174078950389,0.04031,-0.132009,0.138026345967,-0.0360526044224,Ohare
T002,41.95469,-87.800991,-0.1679062,0.0459455,0.174078950389,0.04031,-0.132009,0.138026345967,-0.0360526044224,Ohare
T015,41.974089,-87.824812,-0.1873052,0.0697665,0.199876468023,0.020911,-0.108188,0.110190350145,-0.0896861178782,Ohare
T015,41.974089,-87.824812,-0.1873052,0.0697665,0.199876468023,0.020911,-0.108188,0.110190350145,-0.0896861178782,Ohare
T045,41.9216,-87.666455,-0.1348162,-0.0885905,0.16131858068,0.0734,-0.266545,0.276466629135,0.115148048454,Midway
T045,41.9216,-87.666455,-0.1348162,-0.0885905,0.16131858068,0.0734,-0.266545,0.276466629135,0.115148048454,Midway
T045,41.9216,-87.666455,-0.1348162,-0.0885905,0.16131858068,0.0734,-0.266545,0.276466629135,0.115148048454,Midway
T046,41.891118,-87.654491,-0.1043342,-0.1005545,0.144902839033,0.103882,-0.278509,0.297251968883,0.15234912985,Midway
T048,41.867108,-87.654224,-0.0803242,-0.1008215,0.128906756874,0.127892,-0.278776,0.306712278593,0.177805521719,Midway
T048,41.867108,-87.654224,-0.0803242,-0.1008215,0.128906756874,0.127892,-0.278776,0.306712278593,0.177805521719,Midway
T048,41.867108,-87.654224,-0.0803242,-0.1008215,0.128906756874,0.127892,-0.278776,0.306712278593,0.177805521719,Midway
T049,41.896282,-87.655232,-0.1094982,-0.0998135,0.148164066445,0.098718,-0.277768,0.29478857737,0.146624510925,Midway
T050,41.919343,-87.694259,-0.1325592,-0.0607865,0.145831889815,0.075657,-0.238741,0.250442102551,0.104610212736,Midway
T050,41.919343,-87.694259,-0.1325592,-0.0607865,0.145831889815,0.075657,-0.238741,0.250442102551,0.104610212736,Midway
T054,41.921965,-87.632085,-0.1351812,-0.1229605,0.182738177165,0.073035,-0.300915,0.30965133368,0.126913156515,Midway
T086,41.688324,-87.676709,0.0984598,-0.0783365,0.125821061227,0.306676,-0.256291,0.399668920054,0.273847858827,Midway
T094,41.720848,-87.666014,0.0659358,-0.0890315,0.11078870752,0.274152,-0.266986,0.382675898509,0.27188719099,Midway
T096,41.731922,-87.677512,0.0548618,-0.0775335,0.0949803175479,0.263078,-0.255488,0.366720809647,0.271740492099,Midway
T096,41.731922,-87.677512,0.0548618,-0.0775335,0.0949803175479,0.263078,-0.255488,0.366720809647,0.271740492099,Midway
T096,41.731922,-87.677512,0.0548618,-0.0775335,0.0949803175479,0.263078,-0.255488,0.366720809647,0.271740492099,Midway
T143,41.999129,-87.795585,-0.2123452,0.0405395,0.216180329871,-0.004129,-0.137415,0.137477019411,-0.0787033104608,Ohare
